pmid,pubmed_url,year,title,journal,abstract,keywords,mesh_terms,publication_types,entities,relations
14139995,https://pubmed.ncbi.nlm.nih.gov/14139995/,1964,"OBSERVATIONS ON THE ETIOLOGY AND THERAPY OF ""BRITTLE"" DIABETES.",Canadian Medical Association journal,"Salient aspects of prolonged metabolic studies on seven excessively labile diabetic patients and a review of the literature concerning causation and therapy of brittle diabetes are presented. Brittleness is redefined as ""a syndrome of excessive insulin-sensitivity and ketosis-proneness manifested by extreme and unexplainable short-term and long-term fluctuations in the parameters of the disease"". Evidence on the causation of hyperlability points to dysfunction of plasma-protein transport and of hepatic and peripheral tissue metabolism of insulin. No objectively demonstrable complete and lasting stabilization was possible by means of any antidiabetic or adjunctive therapeutic measures. However, achievement of quantitative improvement in the accuracy of regulation of diabetes and moderation in deviations from the acceptable range of parameters were feasible. To this end, therapy recommended for everyday use incorporates the following principles found to be most helpful in following the oscillations of the disease on the research ward: flexibility in the plan of therapy; accuracy, especially in timing of therapeutic events; and employment of an insulin program best suited to the patient's needs and comfort.","ACIDOSIS, DIABETIC; ANTIDIABETICS; BLOOD PROTEINS; DIABETES MELLITUS; INSULIN; PREGNANCY; PREGNANCY IN DIABETES","Acidosis; Blood Proteins; Diabetes Mellitus; Diabetes Mellitus, Type 1; Diabetic Ketoacidosis; Female; Humans; Hypoglycemic Agents; Insulin; Pregnancy; Pregnancy in Diabetics",Journal Article,brittle diabetes (disease); insulin (protein); excessive insulin-sensitivity (biological_process); plasma-protein transport (biological_process); hepatic tissue metabolism of insulin (biological_process); peripheral tissue metabolism of insulin (biological_process); insulin (drug); insulin-sensitivity (biomarker); ketosis-proneness (clinical_outcome); hyperlability (clinical_outcome),"(brittle diabetes, Positive_Correlation, insulin-sensitivity); (brittle diabetes, Positive_Correlation, ketosis-proneness); (plasma-protein transport, Association, hyperlability); (hepatic tissue metabolism of insulin, Association, hyperlability); (peripheral tissue metabolism of insulin, Association, hyperlability); (dysfunction of plasma-protein transport, Association, brittle diabetes); (hepatic and peripheral tissue metabolism of insulin, Association, brittle diabetes)"
14247704,https://pubmed.ncbi.nlm.nih.gov/14247704/,1965,EXUDATIVE LESIONS IN DIABETES MELLITUS.,Journal of clinical pathology,"Exudative lesions and capsular drops have been examined in a renal biopsy series of 25 diabetics and a post-mortem series of 100 consecutive diabetics. Electron microscopy of a capsular drop and an exudative lesion is described. Exudative lesions were found in 48% of the biopsies and 47% of the necropsy material. Capsular drops were found in 60% of the biopsies and 29% of the necropsy material. No correlation with age, proteinuria, hypertension, or uraemia was noted. The incidence of both types of lesion increased with the known duration of the diabetes.","ADOLESCENCE; BIOPSY; CHILD; DIABETES MELLITUS; DIABETES MELLITUS, JUVENILE; DIABETIC NEPHROPATHIES; EXUDATES AND TRANSUDATES; GERIATRICS; KIDNEY GLOMERULUS; MICROSCOPY, ELECTRON; PATHOLOGY; STAINS AND STAINING; UREMIA","Adolescent; Biopsy; Child; Coloring Agents; Diabetes Mellitus; Diabetes Mellitus, Type 1; Diabetic Nephropathies; Electrons; Exudates and Transudates; Geriatrics; Humans; Hypertension; Kidney Glomerulus; Microscopy; Microscopy, Electron; Pathology; Staining and Labeling; Uremia",Journal Article,Exudative lesions (disease); capsular drops (disease); diabetes (disease); proteinuria (biomarker); proteinuria (clinical_outcome); hypertension (disease); uraemia (disease); duration of the diabetes (clinical_outcome),"(diabetes, Positive_Correlation, Exudative lesions); (diabetes, Positive_Correlation, capsular drops)"
15013454,https://pubmed.ncbi.nlm.nih.gov/15013454/,2004,Timely initiation of basal insulin.,The American journal of medicine,"Recognition of the basal and postprandial components of hyperglycemia, in tandem with the development of new insulins and other clinical research, has led to a reassessment of type 2 diabetes mellitus treatment. In the future, insulin will be used earlier, treatment will intensify as the disease progresses, and combination therapy will be routine. Hyperglycemia can be controlled initially with sulfonylureas and metformin, agents that mainly improve control of fasting and preprandial glucose. When glycemic control can no longer be achieved with these and other oral agents alone, insulin treatment can be started as a single injection of a long-acting insulin. This method of supplementing basal insulin is safe, simple, and less likely to cause weight gain than multiple daily injections with shorter-acting insulins. Continuing oral agents during basal insulin therapy can provide a smoother transition to insulin and reduce the risk of loss of glycemic control. Of currently available insulins, glargine has the activity profile best suited to basal insulin therapy, with no prominent activity peak and a long duration of action, allowing a single daily injection in most cases. Although the traditional approach has been to introduce insulin therapy only after very high glucose values have persisted, despite prolonged use of oral agents alone, a more desirable strategy would be to prevent patients from ever experiencing the loss of glycemic control associated with hemoglobin A(1c) (HbA(1c)) elevations >7%. This goal could be achieved by diagnosing type 2 diabetes earlier in its course and by adding basal insulin to oral therapy much earlier. To maintain the recommended <7% HbA(1c) target level of control, treatments that target postprandial hyperglycemia will have to be added to basal insulin later on, as endogenous insulin continues to decline.",,"Diabetes Mellitus, Type 1; Diabetes Mellitus, Type 2; Disease Progression; Drug Therapy, Combination; Glyburide; Glycated Hemoglobin; Humans; Hyperglycemia; Hypoglycemic Agents; Insulin; Insulin, Long-Acting; Postprandial Period; Sulfonylurea Compounds",Journal Article; Review,type 2 diabetes mellitus (disease); hyperglycemia (biomarker); hyperglycemia (disease); basal hyperglycemia (biomarker); postprandial hyperglycemia (disease); postprandial hyperglycemia (biomarker); sulfonylureas (drug); metformin (drug); basal insulin therapy (biological_process); insulin (drug); insulin glargine (protein); glargine (drug); hemoglobin A1c (HbA1c) (biomarker); endogenous insulin (protein); long-acting insulin (drug); basal insulin (drug); shorter-acting insulins (drug); oral agents (drug); glucose (chemical); glycemic control (clinical_outcome); weight gain (clinical_outcome),"(type 2 diabetes mellitus, Positive_Correlation, hyperglycemia); (sulfonylureas, Positive_Correlation, fasting glucose control); (metformin, Positive_Correlation, fasting glucose control); (basal insulin therapy, Positive_Correlation, glycemic control); (insulin glargine, Association, basal insulin therapy); (HbA1c elevation, Positive_Correlation, glycemic control loss); (endogenous insulin decline, Positive_Correlation, postprandial hyperglycemia); (sulfonylureas, Cotreatment, metformin); (sulfonylureas, Negative_Correlation, hyperglycemia); (metformin, Negative_Correlation, hyperglycemia); (basal insulin, Cotreatment, oral agents); (basal insulin, Comparison, shorter-acting insulins); (basal insulin, Negative_Correlation, weight gain)"
15114267,https://pubmed.ncbi.nlm.nih.gov/15114267/,2004,Type 1 diabetes mellitus in Catalonia: chronic complications and metabolic control ten years after onset.,Medical science monitor : international medical journal of experimental and clinical research,"BACKGROUND: The purpose of this article is to describe the prevalence of microvascular (retinopathy, nephropathy and neuropathy) and acute diabetic complications, and the metabolic control status, in Catalonian patients with type 1 diabetes mellitus ten years after diagnosis. MATERIAL/METHODS: We performed a cross-sectional population study evaluating 427 Type 1 diabetic patients diagnosed between 1987 and 1988 in 15 hospitals in Catalonia. 278 subjects were located, and all the study parameters were collected from their hospital medical records. Mean age at onset was 13.8+/-6.9 years, and 56.5% were male. The mean age of the patients was 24.8+/-6.7 years. Albumin excretion rate (AER), plasma creatinine, lipid profile, glycosilated hemoglobin (HbA1c), blood pressure, presence of retinopathy and clinical polyneuropathy, and diabetes control were evaluated. RESULTS: The mean HbA1c was 7.8+/-1.7%. HbA1c was <7.5% in 48% of patients and >10% in 11.5%. The prevalence of retinopathy was 7.6%. An AER higher than 20 Kg/min was found in 10.4%. Neuropathy was present in 4.3%. A significant association between microvascular complications as a whole (retinopathy and/or microalbuminuria and/or clinical polyneuropathy) and HbA1c (p=0.04) and hypertension (p=0.04) was observed. There were no differences in diabetic complications regarding sex or age at presentation. CONCLUSIONS: This is one of the first studies in which the prevalence of diabetic microvascular complications is reported in a South European cohort of subjects registered in EURODIAB. This population-based study confirms that complications are already present ten years after diabetes onset in a non-negligible percentage of patients.",,"Adult; Age of Onset; Albumins; Albuminuria; Diabetes Mellitus, Type 1; Diabetic Nephropathies; Diabetic Neuropathies; Diabetic Retinopathy; Female; Glycated Hemoglobin; Humans; Kidney; Male; Microcirculation; Neurons; Retina; Risk Factors; Spain; Time Factors","Journal Article; Research Support, Non-U.S. Gov't",type 1 diabetes mellitus (disease); microvascular complications (disease); microvascular complications (clinical_outcome); diabetic retinopathy (disease); diabetic nephropathy (disease); diabetic polyneuropathy (disease); acute diabetic complications (disease); hemoglobin A1c (HbA1c) (biomarker); hypertension (disease); albumin excretion rate (AER) (biomarker); clinical polyneuropathy (disease); microalbuminuria (clinical_outcome); plasma creatinine (biomarker); blood pressure (clinical_outcome),"(type 1 diabetes mellitus, Positive_Correlation, microvascular complications); (type 1 diabetes mellitus, Association, acute diabetic complications); (HbA1c, Positive_Correlation, microvascular complications); (hypertension, Positive_Correlation, microvascular complications); (microvascular complications, Association, HbA1c); (microvascular complications, Association, hypertension)"
16005542,https://pubmed.ncbi.nlm.nih.gov/16005542/,2005,Proinsulin C-peptide activates vagus efferent output in rats.,Peptides,"The aim of this study was to examine the effect of proinsulin C-peptide on the autonomic nervous systems in rats. Intravenous administration of C-peptide gradually increased electrophysiological activity of the vagus nerves into the stomach and pancreas for at least 90 min. It also slightly increased gastric acid secretion that was suppressed by the treatment with atropine. Intraperitoneal injection of C-peptide did not affect the basal and stress-induced norepinephrine (NE) turnover rate, a biochemical index of sympathetic nerve activity. These results indicate that C-peptide increases parasympathetic nerve activity without affecting sympathetic nerve activity. This could explain, at least in part, the ameliorating effects of C-peptide on impaired cardiac autonomic nerve functions in patients with type 1 diabetes.",,"Animals; C-Peptide; Diabetes Mellitus, Type 1; Female; Gastric Acid; Gastric Mucosa; Heart; Humans; Injections, Intravenous; Myocardium; Rats; Rats, Wistar; Stomach; Sympathetic Nervous System; Vagus Nerve","Journal Article; Research Support, Non-U.S. Gov't",proinsulin C-peptide (protein); autonomic nervous system (cell_type); parasympathetic nerve activity (biological_process); sympathetic nerve activity (biological_process); type 1 diabetes (disease); cardiac autonomic nerve function (clinical_outcome); cardiac autonomic nerve functions (biological_process); vagus nerve activity (biomarker); gastric acid secretion (biological_process); norepinephrine (NE) (chemical); norepinephrine (NE) turnover rate (biological_process); atropine (drug); electrophysiological activity of the vagus nerves (biological_process),"(C-peptide, Positive_Correlation, parasympathetic nerve activity); (C-peptide, Positive_Correlation, gastric acid secretion); (C-peptide, Negative_Correlation, sympathetic nerve activity); (C-peptide, Positive_Correlation, vagus nerve activity); (C-peptide, Association, cardiac autonomic nerve function improvement in type 1 diabetes); (C-peptide, Positive_Correlation, electrophysiological activity of the vagus nerves); (atropine, Negative_Correlation, gastric acid secretion)"
17060846,https://pubmed.ncbi.nlm.nih.gov/17060846/,2006,The long-term management of pancreas transplantation.,Transplantation,"Diabetes mellitus (DM) is a major health problem worldwide, which affects 18.2 million individuals (6.3% of the population) in the United States. Currently, the prevalence of Type 1 DM in the United States is estimated to be 1,000,000 individuals, and 30,000 new cases are diagnosed each year. In addition to end-stage renal disease (ESRD), DM is associated with blindness, accelerated atherosclerosis, dyslipidemia, cardio- and cerebrovascular disease, amputation, poor quality of life, and overall lifespan reduction. It accounts for more than 160,000 deaths per year in the United States alone. In 2002, the annual national direct and indirect costs of Types 1 and 2 DM exceeded $130 billion, which included hospital and physician care, laboratory tests, pharmaceutical products, and patient workdays lost because of disability or premature death. Hyperglycemia alone or in concert with hypertension is the primary factor influencing the development of major diabetic complications. From 1990 to 2001, the number of existing ESRD cases to DM increased by more than 300%, while the rate per million populations increased from 167% to 491%. The number is expected to grow 10-fold by 2030 to 1.3 million accounting for 60% of ESRD population. To date, DM is the leading indication for transplantation and is the cause of ESRD in more than 40% of all transplant recipients each year.",,"Diabetes Complications; Diabetes Mellitus, Type 1; Diabetes Mellitus, Type 2; Diabetic Neuropathies; Humans; Kidney Failure, Chronic; Pancreas Transplantation; Quality of Life; Registries; Treatment Outcome",Journal Article; Review,diabetes mellitus (disease); type 1 diabetes mellitus (disease); type 2 diabetes mellitus (disease); end-stage renal disease (disease); blindness (disease); blindness (clinical_outcome); atherosclerosis (disease); dyslipidemia (disease); cardio-cerebrovascular disease (disease); hypertension (disease); diabetic complications (disease); major diabetic complications (clinical_outcome); hyperglycemia (biological_process); Hyperglycemia (disease); quality of life (clinical_outcome); lifespan (clinical_outcome); mortality (clinical_outcome); amputation (clinical_outcome); Type 1 DM (disease),"(diabetes mellitus, Positive_Correlation, end-stage renal disease); (diabetes mellitus, Association, blindness); (diabetes mellitus, Association, atherosclerosis); (diabetes mellitus, Association, dyslipidemia); (diabetes mellitus, Association, cardio-cerebrovascular disease); (diabetes mellitus, Association, amputation); (hyperglycemia, Positive_Correlation, diabetic complications); (hypertension, Positive_Correlation, diabetic complications); (diabetes mellitus, Negative_Correlation, quality of life); (diabetes mellitus, Negative_Correlation, lifespan)"
17121768,https://pubmed.ncbi.nlm.nih.gov/17121768/,2006,Elevated serum alanine transaminase in patients with type 1 or type 2 diabetes mellitus.,QJM : monthly journal of the Association of Physicians,"BACKGROUND: The risk of chronic liver disease is higher in diabetics, and serum alanine transaminase (ALT) is a sensitive predictor of mortality from liver disease. AIM: To estimate the prevalence of elevated ALT in type 1 and type 2 diabetes, and identify possible risk factors. METHODS: We identified all patients (n = 2077) attending review between September 2002 and August 2003. We excluded those with no ALT measurement (n = 73); those whose alcohol consumption was >14 units/week (women) (n = 276) or >21 units/week (men) (n = 324); and those with a diagnosis of Maturity Onset Diabetes of the Young, secondary diabetes, gestational diabetes or uncertain type of diabetes (n = 51). We calculated the prevalences of elevated ALT in both type 1 and type 2 diabetes patients, and compared the demographic, microvascular risk factors and current drug use between each group using multivariate logistic regression. RESULTS: Of 1353 patients included, 836 (61.9%) had type 2 diabetes. Elevated ALT was found in 9.5% (95%CI 7.1-12.3%) of patients with type 1 diabetes, and 12.1% (95%CI 9.9-14.5%) of those with type 2 diabetes. The risk of elevated ALT in patients with type 2 diabetes increased with increasing body mass index (p(trend) = 0.04), and was lower in those taking insulin (OR 0.38, 95%CI 0.22-0.65). DISCUSSION: The prevalence of elevated ALT is 3-4 times higher in patients with either type 1 or type 2 diabetes than in the general population. Further studies investigating the aetiology and mechanisms of this elevation may suggest appropriate early interventions.",,"Adolescent; Adult; Aged; Alanine Transaminase; Biomarkers; Diabetes Mellitus, Type 1; Diabetes Mellitus, Type 2; Early Diagnosis; Female; Humans; Male; Middle Aged; Prevalence; Risk Factors",Journal Article,type 1 diabetes (disease); type 2 diabetes (disease); chronic liver disease (disease); serum alanine transaminase (ALT) (biomarker); elevated ALT (clinical_outcome); body mass index (BMI) (biomarker); body mass index (clinical_outcome); insulin (protein); insulin (drug); diabetics (disease); Maturity Onset Diabetes of the Young (disease); secondary diabetes (disease); gestational diabetes (disease); mortality from liver disease (clinical_outcome),"(diabetes, Positive_Correlation, chronic liver disease); (type 1 diabetes, Positive_Correlation, elevated ALT); (type 2 diabetes, Positive_Correlation, elevated ALT); (body mass index, Positive_Correlation, elevated ALT in type 2 diabetes); (insulin, Negative_Correlation, elevated ALT in type 2 diabetes); (serum alanine transaminase (ALT), Association, mortality from liver disease); (type 1 diabetes, Positive_Correlation, serum alanine transaminase (ALT)); (type 2 diabetes, Positive_Correlation, serum alanine transaminase (ALT)); (body mass index, Positive_Correlation, serum alanine transaminase (ALT)); (insulin, Negative_Correlation, serum alanine transaminase (ALT))"
17340801,https://pubmed.ncbi.nlm.nih.gov/17340801/,1968,[Medical and social problems raised by infantile diabetes].,Archivio per le scienze mediche,"Recent clinical and statistical data are referred to in an account of the medical and social problems raised by diabetes in infancy and attention is placed on modern methods employed in the management of this disease. An examination is also undertaken of problems facing young patients with respect to their family, scholastic and later professional life.",,"Child; Child, Preschool; Diabetes Mellitus, Type 1; Diet, Diabetic; Humans; Hypoglycemic Agents; Incidence; Insulin; Italy; Risk Factors; Social Adjustment; Survival Analysis",English Abstract; Journal Article; Review,diabetes in infancy (disease),
17365945,https://pubmed.ncbi.nlm.nih.gov/17365945/,2007,Occult donor malignancy in pancreas transplantation.,Renal failure,"Tumor of the pancreas allograft is extremely rare. We report a case of an occult donor malignant undifferentiated tumor arising in a pancreas allograft. A 42-year-old female with Type 1 diabetes received a macroscopically normal pancreas allograft. The donor was a 22-year-old male who died of spontaneous intracerebral hemorrhage. She underwent transplant pancreatectomy, the histology of the pancreas allograft demonstrated a tumor measuring 5 mm in diameter, and a diagnosis of malignant undifferentiated tumor was made. In a different transplant center, the recipient of the left kidney transplant from the same donor had a nephrectomy, and the recipient of the liver transplant died of metastatic disease. Microscopic examination of the liver and kidney allografts subsequently revealed histological features identical to the pancreas tumor. Tumor transmission in transplantation may occur from an organ that contains metastatic cells or, less commonly, from the transmission of an unrecognized or occult primary tumor. A report from the United Network for Organs Sharing transplant data 1997-2002 is illustrated and discussed. This case illustrates the difficulties associated with identifying donors with occult primary tumor or metastases.",,"Adult; Diabetes Mellitus, Type 1; Eye Neoplasms; Female; Humans; Neoplasms; Pancreas Transplantation; Postoperative Complications; Retrospective Studies; Tissue Donors; Transplantation, Homologous","Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.",Type 1 diabetes (disease); pancreas allograft (cell_type); pancreas allograft (drug); occult donor malignant undifferentiated tumor (disease); metastatic disease (disease); tumor transmission (biological_process); organ transplantation (biological_process); spontaneous intracerebral hemorrhage (disease); occult primary tumor (disease); transplant pancreatectomy (drug); nephrectomy (drug),"(Type 1 diabetes, Association, pancreas transplantation); (pancreas allograft, Association, occult donor malignant tumor); (organ transplantation, Positive_Correlation, tumor transmission); (occult primary tumor, Positive_Correlation, tumor transmission); (tumor transmission, Positive_Correlation, metastatic disease); (pancreas allograft, Association, malignant undifferentiated tumor)"
17510698,https://pubmed.ncbi.nlm.nih.gov/17510698/,2007,"Responses to acute exercise in type 2 diabetes, with an emphasis on metabolism and interaction with oral hypoglycemic agents and food intake.","Applied physiology, nutrition, and metabolism = Physiologie appliquee, nutrition et metabolisme","In people with type 1 diabetes mellitis (DM), insulin administration, food intake, and exercise have to be carefully matched to avoid either hypo- or hyperglycemia. People with type 2 DM have some insulin secretion, which changes with needs. Accordingly, during exercise, these people do not run the same metabolic risks as people with type 1 DM. However, a contraction-mediated increase in glucose clearance in muscle is intact in type 2 DM. Therefore, in the postabsorptive state in diet-treated type 2 DM, a marked reduction in hyperglycemia can occur during prolonged moderate exercise. Sulfonylurea drugs augment the rate of decline in plasma glucose, because stimulation of insulin secretion reduces hepatic glucose production. After abstention from sulfonylurea for 5 days, the rate of decrease in plasma glucose with exercise is also enhanced, but from a higher glucose level. In the postabsorptive state, brief vigourous exercise elicits an increase in plasma glucose concentration, reflecting an exaggerated counterregulatory hormone response and glucose production. Moreover, insulin sensitivity is reduced in the early postexercise period. In the postprandial state, both prolonged moderate exercise and intermittent high-intensity exercise markedly decrease meal-induced increases in glucose, insulin, and C-peptide concentrations, whereas glucose appearance in plasma is unchanged. When exercise bouts are isocaloric, responses are identical, indicating that overall energy expenditure, and not peak exercise intensity, is the major determinant of exercise-induced changes in overall glucose homeostasis and insulin secretion in type 2 DM. Neither prolonged moderate nor intermittent high-intensity exercise performed in the postprandial state influences glucose or insulin responses to a subsequent meal. Finally, in people with type 2 DM, after a high-fat meal, prolonged moderate exercise reduces the exaggerated increases in plasma concentrations of triglycerides contained in chylomicrons and very low-density lipoproteins.",,"Blood Glucose; Diabetes Mellitus, Type 2; Diet; Dietary Fats; Energy Intake; Energy Metabolism; Exercise; Food; Humans; Hypoglycemic Agents; Lipid Metabolism; Physical Endurance",Journal Article; Review,type 1 diabetes mellitus (disease); type 2 diabetes mellitus (disease); hypoglycemia (disease); hyperglycemia (disease); insulin (protein); insulin (drug); glucose clearance (biological_process); sulfonylurea drugs (drug); hepatic glucose production (biological_process); counterregulatory hormone response (biological_process); insulin sensitivity (biomarker); insulin secretion (biological_process); glucose homeostasis (biological_process); C-peptide (protein); C-peptide (biomarker); triglycerides (chemical); chylomicrons (biomarker); chylomicrons (chemical); very low-density lipoproteins (VLDL) (biomarker); very low-density lipoproteins (chemical); type 2 DM (disease); plasma glucose (biomarker); insulin sensitivity (biological_process); exercise (biological_process); prolonged moderate exercise (biological_process); brief vigourous exercise (biological_process); intermittent high-intensity exercise (biological_process); glucose production (biological_process); glucose (chemical),"(prolonged moderate exercise, Negative_Correlation, hyperglycemia); (postexercise state, Negative_Correlation, insulin sensitivity); (prolonged moderate exercise, Negative_Correlation, postprandial C-peptide elevation); (exercise, Positive_Correlation, muscle glucose clearance); (prolonged moderate exercise, Negative_Correlation, glucose); (sulfonylurea drugs, Positive_Correlation, plasma glucose decline rate); (brief vigorous exercise, Positive_Correlation, plasma glucose); (type 1 diabetes mellitus, Association, hypo/hyperglycemia risk); (type 2 diabetes mellitus, Association, lower exercise metabolic risk); (sulfonylurea drugs, Negative_Correlation, hepatic glucose production); (prolonged moderate exercise, Negative_Correlation, postprandial glucose elevation); (prolonged moderate exercise, Negative_Correlation, postprandial insulin elevation); (prolonged moderate exercise, Negative_Correlation, postprandial triglyceride elevation); (total energy expenditure, Positive_Correlation, exercise-induced glucose homeostasis changes); (Sulfonylurea drugs, Positive_Correlation, insulin secretion); (insulin secretion, Negative_Correlation, hepatic glucose production); (brief vigourous exercise, Positive_Correlation, plasma glucose); (brief vigourous exercise, Positive_Correlation, counterregulatory hormone response); (brief vigourous exercise, Positive_Correlation, glucose production); (intermittent high-intensity exercise, Negative_Correlation, glucose); (intermittent high-intensity exercise, Negative_Correlation, C-peptide); (prolonged moderate exercise, Negative_Correlation, triglycerides)"
18064633,https://pubmed.ncbi.nlm.nih.gov/18064633/,2008,Macrophage migration inhibitory factor (MIF) is necessary for progression of autoimmune diabetes mellitus.,Journal of cellular physiology,"Macrophage migration inhibitory factor (MIF) is a proinflammatory cytokine of the innate immune system that plays a major role in the induction of immunoinflammatory responses. To examine the role of endogenous MIF in the pathogenesis of type 1 diabetes (TID) we evaluated the effects of administration of neutralizing anti-MIF antibodies to NOD mice with accelerated forms of diabetes induced by injection of cyclophosphamide or by transfer of diabetogenic spleen cells. Both accelerated forms of diabetes were markedly reduced by anti-MIF antibody. Furthermore, MIF-deficient (MIF(-/-)) mice were less susceptible to the induction of immunoinflammatory diabetes, insulitis and apoptosis within the endocrine pancreas by multiple low doses of streptozotocin (MLD-STZ) than genetically matched wild type (WT) mice. MIF deficiency resulted in lower proliferation and lymphocyte adhesion, as well as reduced production from the spleens and peritoneal cells of a variety of inflammatory mediators typically associated with development of the disease including IL-12, IL-23, TNF-alpha, and IL-1beta. Furthermore, MIF deletion affected the production of IL-18, TNF-alpha, IL-1beta, and iNOS in the islets of Langerhans. These data, along with the higher expression of IL-4 and TGF-beta observed in the periphery and in the pancreas of MLD-STZ-challenged MIF(-/-) mice as compared to WT controls suggest that MIF deficiency has induced an immune deviation towards protective type 2/3 response. These results suggest that MIF participates in T1D by controlling the functional activity of monocytes/macrophages and T cells and modulating their secretory capacity of pro- and anti-inflammatory molecules.",,"Adoptive Transfer; Animals; Antibodies, Monoclonal; Cell Adhesion; Cell Proliferation; Cells, Cultured; Cyclophosphamide; Cytokines; Diabetes Mellitus, Experimental; Diabetes Mellitus, Type 1; Disease Progression; Female; Gene Expression Regulation; Intramolecular Oxidoreductases; Islets of Langerhans; Leukocytes, Mononuclear; Macrophage Migration-Inhibitory Factors; Mice; Mice, Inbred NOD; Nitric Oxide; Nitric Oxide Synthase Type II; RNA, Messenger; Spleen; Streptozocin; Tyrosine","Journal Article; Research Support, Non-U.S. Gov't",type 1 diabetes (T1D) (disease); immunoinflammatory diabetes (disease); immunoinflammatory responses (biological_process); insulitis (disease); pancreatic endocrine apoptosis (disease); apoptosis (biological_process); accelerated diabetes (disease); macrophage migration inhibitory factor (MIF) (protein); IL-12 (protein); IL-23 (protein); TNF-alpha (protein); IL-1beta (protein); IL-18 (protein); iNOS (protein); IL-4 (protein); TGF-beta (protein); macrophages (cell_type); monocytes (cell_type); T cells (cell_type); lymphocytes (cell_type); lymphocyte adhesion (biological_process); spleen cells (cell_type); peritoneal cells (cell_type); innate immune cells (cell_type); anti-MIF antibody (drug); cyclophosphamide (chemical); cyclophosphamide (drug); diabetogenic spleen cell transfer (biological_process); MIF deficiency (protein); MIF deficiency (biological_process); streptozotocin (chemical); streptozotocin (drug); immunoinflammatory response (biological_process); immunoinflammatory diabetes (disease); immune deviation (biological_process); lymphocyte proliferation (biological_process); lymphocyte adhesion (biological_process); inflammatory mediator production (biological_process),"(MIF, Positive_Correlation, insulitis); (MIF, Positive_Correlation, pancreatic endocrine apoptosis); (MIF, Positive_Correlation, lymphocyte proliferation); (MIF, Positive_Correlation, lymphocyte adhesion); (MIF, Positive_Correlation, IL-12); (MIF, Positive_Correlation, IL-23); (MIF, Positive_Correlation, TNF-alpha); (MIF, Positive_Correlation, IL-1beta); (MIF, Negative_Correlation, IL-4); (MIF, Negative_Correlation, TGF-beta); (anti-MIF antibody, Negative_Correlation, accelerated diabetes); (MIF deficiency, Negative_Correlation, immunoinflammatory diabetes); (cyclophosphamide, Positive_Correlation, accelerated diabetes); (diabetogenic spleen cells, Positive_Correlation, accelerated diabetes); (streptozotocin, Positive_Correlation, immunoinflammatory diabetes); (streptozotocin, Positive_Correlation, insulitis); (streptozotocin, Positive_Correlation, apoptosis); (MIF, Positive_Correlation, IL-18); (MIF, Positive_Correlation, iNOS); (MIF, Positive_Correlation, type 1 diabetes progression); (MIF deficiency, Negative_Correlation, insulitis); (MIF deficiency, Positive_Correlation, protective type 2/3 immune deviation); (MIF deficiency, Negative_Correlation, immunoinflammatory diabetes); (IL-12, Association, immunoinflammatory diabetes); (IL-23, Association, immunoinflammatory diabetes)"
